author,count,average
يوسف إدريس,120,6.08
فؤاد زكريا,125,6.25
حسن حنفي,548,5.68
عبد الغفار مكاوي,396,5.97
كامل كيلاني,25,6.84
نوال السعداوي,295,5.94
أحمد شوقي,58,6.50
أحمد تيمور باشا,57,4.84
ثروت أباظة,90,5.97
سلامة موسى,119,5.23
جبران خليل جبران,30,6.07
روبرت بار,82,6.95
ويليام شيكسبير,238,5.99
طه حسين,253,5.27
أمين الريحاني,142,5.69
غوستاف لوبون,150,5.51
نجيب محفوظ,327,6.01
أحمد أمين,246,5.68
محمد حسين هيكل,259,6.03
جُرجي زيدان,327,5.89
عباس محمود العقاد,267,5.37
overall,4154,5.82
overall,8308,5.82
