author,count,average
يوسف إدريس,120,6.53
فؤاد زكريا,125,7.40
حسن حنفي,548,7.03
عبد الغفار مكاوي,396,6.64
كامل كيلاني,25,7.80
نوال السعداوي,294,7.03
أحمد شوقي,58,7.71
أحمد تيمور باشا,57,6.42
ثروت أباظة,90,6.59
سلامة موسى,119,7.09
جبران خليل جبران,30,7.20
روبرت بار,82,7.60
ويليام شيكسبير,238,7.10
طه حسين,255,6.12
أمين الريحاني,142,7.18
غوستاف لوبون,150,7.40
نجيب محفوظ,327,7.13
أحمد أمين,246,7.19
محمد حسين هيكل,260,7.54
جُرجي زيدان,327,7.24
عباس محمود العقاد,267,6.61
overall,4156,7.01
overall,8312,7.01
