author,count,average
يوسف إدريس,120,7.72
فؤاد زكريا,125,7.82
حسن حنفي,548,7.68
عبد الغفار مكاوي,396,7.66
كامل كيلاني,25,8.08
نوال السعداوي,295,7.86
أحمد شوقي,58,8.05
أحمد تيمور باشا,57,8.30
ثروت أباظة,90,8.19
سلامة موسى,119,7.92
جبران خليل جبران,30,8.30
روبرت بار,82,7.99
ويليام شيكسبير,238,7.91
طه حسين,255,7.65
أمين الريحاني,142,7.66
غوستاف لوبون,150,7.84
نجيب محفوظ,327,7.88
أحمد أمين,246,7.96
محمد حسين هيكل,260,7.99
جُرجي زيدان,327,7.90
عباس محمود العقاد,267,7.82
overall,4157,7.84
overall,8314,7.84
