,precision,recall,f1-score,support
أحمد أمين,0.2851,0.7683,0.4158,246.0
أحمد تيمور باشا,0.7586,0.7719,0.7652,57.0
أحمد شوقي,0.1538,0.1724,0.1626,58.0
أمين الريحاني,0.68,0.1197,0.2036,142.0
ثروت أباظة,0.2982,0.1889,0.2313,90.0
جبران خليل جبران,0.4878,0.6667,0.5634,30.0
جُرجي زيدان,0.8491,0.7401,0.7908,327.0
حسن حنفي,0.9216,0.6223,0.7429,548.0
روبرت بار,1.0,0.4634,0.6333,82.0
سلامة موسى,0.253,0.8824,0.3933,119.0
طه حسين,0.7,0.7686,0.7327,255.0
عباس محمود العقاد,0.4643,0.633,0.5357,267.0
عبد الغفار مكاوي,0.7133,0.5278,0.6067,396.0
غوستاف لوبون,0.8372,0.48,0.6102,150.0
فؤاد زكريا,0.5355,0.904,0.6726,125.0
كامل كيلاني,0.0455,0.04,0.0426,25.0
محمد حسين هيكل,0.3721,0.1846,0.2468,260.0
نجيب محفوظ,1.0,0.7982,0.8878,327.0
نوال السعداوي,0.768,0.8305,0.798,295.0
ويليام شيكسبير,0.9023,0.5042,0.6469,238.0
يوسف إدريس,0.619,0.2167,0.321,120.0
accuracy,0.5973,0.5973,0.5973,0.5973
macro avg,0.6021,0.5373,0.524,4157.0
weighted avg,0.6911,0.5973,0.6051,4157.0
