,precision,recall,f1-score,support
أحمد أمين,0.4737,0.3659,0.4128,246.0
أحمد تيمور باشا,0.0833,0.1579,0.1091,57.0
أحمد شوقي,0.0833,0.2241,0.1215,58.0
أمين الريحاني,0.5714,0.3662,0.4464,142.0
ثروت أباظة,0.1533,0.2556,0.1917,90.0
جبران خليل جبران,0.2182,0.4,0.2824,30.0
جُرجي زيدان,0.9464,0.7554,0.8401,327.0
حسن حنفي,0.9344,0.7792,0.8498,548.0
روبرت بار,0.4573,0.9146,0.6098,82.0
سلامة موسى,0.5385,0.6471,0.5878,119.0
طه حسين,0.8739,0.3804,0.5301,255.0
عباس محمود العقاد,0.8611,0.1161,0.2046,267.0
عبد الغفار مكاوي,0.6126,0.7146,0.6597,396.0
غوستاف لوبون,0.5766,0.5267,0.5505,150.0
فؤاد زكريا,0.7068,0.752,0.7287,125.0
كامل كيلاني,0.0442,0.84,0.084,25.0
محمد حسين هيكل,0.2727,0.0577,0.0952,260.0
نجيب محفوظ,0.9562,0.8685,0.9103,327.0
نوال السعداوي,0.5798,0.8746,0.6973,295.0
ويليام شيكسبير,0.6626,0.4538,0.5387,238.0
يوسف إدريس,0.6029,0.3417,0.4362,120.0
accuracy,0.5619,0.5619,0.5619,0.5619
macro avg,0.5338,0.5139,0.4708,4157.0
weighted avg,0.6752,0.5619,0.5773,4157.0
